time,velX,velY,velZ,posX,posY,posZ,yaw_deg,pitch_deg,roll_deg
0.0,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.0,0.0,-0.0
0.0012515605493133583,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.018948751261471216,0.07425590751673936,-0.39355334857425783
0.0025031210986267167,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.0387981411582983,0.14737697503016556,-0.7810052923033323
0.003754681647940075,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.05951998747671743,0.21936501028676075,-1.1625700131383734
0.005006242197253433,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.08108510459911164,0.29022290761349806,-1.5384596865150875
0.006257802746566792,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.10346317864959603,0.35995458576264044,-1.9088828450739037
0.00750936329588015,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.12662263897456558,0.428564933449093,-2.274042761039357
0.00876092384519351,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.150530528925194,0.49605976542414376,-2.634135887915385
0.010012484394506867,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.1751523794443491,0.562445791330556,-2.9893503998065736
0.011264044943820224,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.20045208914618368,0.6277305987037891,-3.3398648591056066
0.012515605493133583,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.2263918142308358,0.6919226505691904,-3.685847033193558
0.013767166042446943,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.252931870891706,0.7550312973728037,-4.0274528716626765
0.0150187265917603,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.28003065220028167,0.817066802546489,-4.364825649080383
0.016270287141073658,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.3076445609459995,0.8780403807625532,-4.6980952741147926
0.01752184769038702,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.33572795951140844,0.9379642477707009,-5.02737776287922
0.018773408239700376,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.36423313750024383,0.9968516805510383,-5.352774871835824
0.020024968789013733,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.3931102974661754,1.0547170863117923,-5.674373882818003
0.02127652933832709,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.42230755867226727,1.111576078583636,-5.992247528834954
0.02252808988764045,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.4517709783402286,1.1674455583540102,-6.306454044282329
0.02377965043695381,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.48144458940817153,1.222343797974087,-6.617037318738969
0.025031210986267167,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.5112704535240791,1.2762905255775354,-6.924027132000185
0.026282771535580524,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.5411887279053248,1.3293070079964249,-7.227439450068695
0.027534332084893885,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.5711377447612568,1.3814161305586699,-7.527276766232274
0.028785892634207243,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.6010541021388098,1.432642472583686,-7.823528476189661
0.0300374531835206,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.6308727652157295,1.4830123777824924,-8.116171279952155
0.03128901373283396,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.6605271771794634,1.53255401907678,-8.40516960565674
0.032540574282147315,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.6899493789234419,1.5812974575336731,-8.690476052130391
0.03379213483146067,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.7190701368797809,1.6292746951510053,-8.97203184825343
0.03504369538077404,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.7478190783506196,1.6765197211716896,-9.249767327593206
0.036295255930087394,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.7761248337033028,1.7230685515540722,-9.523602416725293
0.03754681647940075,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.8039151848094229,1.7689592612587104,-9.793447135830998
0.03879837702871411,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.831117219157482,1.8142320091288844,-10.059202110718045
0.04004993757802747,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.8576574891180662,1.858929055279453,-10.320759095962933
0.041301498127340824,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.8834621758451251,1.9030947710145487,-10.578001509068216
0.04255305867665418,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.9084572572595137,1.946775641366194,-10.830804975362936
0.04380461922596754,0.0,0.0,0.0,0.02720536401067502,0.0017513166533369181,0.08472129611126394,0.9325686795179692,1.9900202604008472,-11.0790378831349
