time,low_ax,low_ay,low_az,high_ax,high_ay,high_az,pitch,roll,yaw,Gx,Gy,Gz,imu_vibration,velX,velY,velZ,posX,posY,posZ,yaw_deg,pitch_deg,roll_deg,Ax_filt,Ay_filt,Az_filt
0.0,0.577165,0.221871,0.22358,0.632448,-0.03904,-0.23424,54.470371,-0.171694,-86.694661,5.81,-2.1,-0.28,0.0,0.0,0.0,0.0,0.003032716471277769,1.898607909934238,3.993694678807327,0.0,0.0,-0.0,0.3217231504047298,0.3795099112647877,0.019551888525125637
0.0012515644555694619,0.439537,0.203257,0.379043,0.569984,0.015616,-0.23424,54.368901,0.153138,-86.652868,6.16,0.42,-0.42,0.0,0.00037834542014464264,0.00046401236143471275,-0.012250430900409871,0.0030329532331176594,1.8986082003049272,3.9936870127053865,-0.2388864813871289,-0.7369748004540504,-0.023999660186766608,0.30100838039769695,0.37199490918840294,0.01817093714152351
0.0025031289111389237,0.277412,0.009319,0.476861,0.523136,0.007808,-0.210816,54.393435,0.242923,-86.705874,11.2,1.19,-2.87,0.0,0.0007327396502359859,0.0009168076023626722,-0.02449870464339693,0.00303364853040826,1.8986090643975202,3.9936640157494767,-0.49905823720574244,-1.4873418371258764,-0.05596878465921944,0.28052635679916765,0.3642173713820324,0.016624838160108225
0.003754693366708386,0.10167,-0.06193,0.5165,0.569984,0.023424,-0.226432,54.532123,0.519098,-86.71933,9.59,3.43,-6.65,0.0,0.0010635892992640053,0.0013581540336674712,-0.036745609609488875,0.0030347726411401126,1.898610488028081,3.9936256901460645,-0.7804680577545172,-2.2510832249758685,-0.09649507390836362,0.2603118928760235,0.35617249550164887,0.01491397178855004
0.0050062578222778474,-0.043906,-0.09866,0.499822,0.554368,-0.0,-0.242048,54.612789,0.733256,-86.73501,10.78,4.13,-12.88,0.0,0.0013713468735348207,0.0017878344899375659,-0.048991930319869564,0.0030362963809228405,1.898612456731788,3.993572037117323,-1.0830513229276955,-3.028132119166079,-0.14618577040020042,0.2403998019876505,0.3478554043558713,0.013039324152136256
0.006257822277847309,-0.030055,-0.094487,0.474795,0.593408,-0.046848,-0.249856,54.570727,1.124252,-86.600233,3.01,3.78,-17.08,0.0,0.0016565104657848655,0.0022056439607222407,-0.06123844381722568,0.0030381911602340543,1.8986149557796292,3.9935030569082257,-1.4067266230290076,-3.8183697864278363,-0.2056673332426275,0.22082479033455013,0.33926114558011156,0.011002510157124413
0.007509386733416772,0.037897,-0.030393,0.407782,0.593408,-0.046848,-0.281088,54.503812,1.546757,-86.267577,-5.6,1.61,-19.67,0.0,0.0019196231719530296,0.0026113870288113116,-0.07348591588361801,0.003040429041108734,1.8986179701920132,3.9934187487982755,-1.7513963832348978,-4.621622744538826,-0.27558503312832017,0.20162135108872054,0.3303846955103329,0.008805791251509137
0.008760951188986232,0.189415,0.07134,0.283443,0.62464,-0.085888,-0.288896,54.491745,2.093456,-85.898906,-13.79,-2.17,-19.040001,0.0,0.0021612722133555954,0.0030048751412453225,-0.08573509711696231,0.0030429827929143085,1.898621484749066,3.9933191111180495,-2.116947465895964,-5.437659998168842,-0.35660246629234493,0.1828236606969119,0.32122096758259566,0.006452088045265022
0.010012515644555695,0.373449,0.22246,0.171841,0.640256,-0.101504,-0.27328,54.512588,2.556394,-85.413498,-18.76,-5.11,-14.49,0.0,0.002382087743034278,0.0033859237416268544,-0.09798671888996294,0.0030458259468294463,1.8986254839974281,3.993204141270736,-2.5032517203976328,-6.266190399787889,-0.4494009813427642,0.16446547731558106,0.3117648250555265,0.003944988157949462
0.011264080100125157,0.487577,0.346971,0.114376,0.632448,-0.101504,-0.281088,54.56036,3.050828,-85.013662,-21.139999,-6.3,-8.75,0.0,0.0025827413155541166,0.0037543492944699473,-0.11024148921730278,0.0030489328486183,1.8986299522533956,3.9930738357587794,-2.9101664469103747,-7.106860163830491,-0.5546790062616589,0.14658004048062012,0.30201109733996395,0.0012887500178748812
0.012515644555694618,0.585134,0.47707,0.090177,0.640256,-0.124928,-0.288896,54.55188,3.418355,-84.65453,-20.440001,-6.02,-0.28,0.0,0.002763943999827036,0.0041099662338959,-0.1225000885587608,0.0030522787092662233,1.8986348736022869,3.9929281902157405,-3.3375347386123737,-7.959250561321986,-0.6731512562333202,0.1291999705161922,0.2919545987855107,-0.0015116964362181966
0.01376720901126408,0.573864,0.54976,0.125073,0.640256,-0.062464,-0.257664,54.543001,3.726666,-84.319894,-20.16,-3.43,7.35,0.0,0.0029264441151711125,0.00445258387015759,-0.13476316558800647,0.0030558396530177864,1.8986402318939666,3.992767199443433,-3.7851856670240527,-8.822875821407386,-0.805547797608739,0.11235716599808523,0.2815901485084785,-0.004450751236904526
0.015018773466833543,0.495209,0.5867,0.18855,0.616832,-0.023424,-0.249856,54.508494,3.935877,-84.119481,-22.190001,0.14,12.74,0.0,0.0030710245723821125,0.004782003288489331,-0.14703133295933424,0.0030595927623341527,1.8986460107344914,3.992590857454355,-4.252934276688714,-9.697181266276933,-0.9526129397699353,0.09608269781893343,0.2709125898085319,-0.007522147443974905
0.016270337922403004,0.317973,0.577911,0.245557,0.616832,-0.015616,-0.23424,54.500589,4.177744,-83.997121,-21.91,2.59,15.96,0.0,0.0031984998045819163,0.005098014275824653,-0.1593051631075337,0.0030635161192659197,1.8986521934738934,3.9923991575193942,-4.740581357898861,-10.581541707078337,-1.1151039245385745,0.08040669896261778,0.25991680790212573,-0.010718955603259746
0.017521902377972465,0.122474,0.443308,0.302933,0.609024,0.109312,-0.187392,54.5544,4.3696,-83.838379,-10.08,-2.1,15.89,0.0,0.003309712277325508,0.005400392312106755,-0.17158518411918522,0.0030675888427214313,1.8986587631901561,3.9921920922207543,-5.247912968562694,-11.475260130249309,-1.2937893814617514,0.06535824986032046,0.2485977450590723,-0.01403358985125962
0.01877346683354193,-0.241215,0.393478,0.294395,0.569984,0.046848,-0.257664,54.574121,4.708078,-83.597729,-18.83,4.2,11.97,0.0,0.003405528573993566,0.005688895664271692,-0.1838718757165012,0.0030717911211014808,1.8986657026694906,3.9919696535099685,-5.7746996777705535,-12.377566705425323,-1.4894475168297592,0.05096526004729984,0.23695041272622966,-0.01745781617559838
0.02002503128911139,-0.450766,0.161747,0.294227,0.515328,0.03904,-0.23424,54.593686,4.994323,-83.19763,-13.09,2.24,6.16,0.0,0.0034868350607731614,0.005963262622453641,-0.19616566539689803,0.0030761042397715477,1.8986729943830618,3.991731832770849,-6.3206955036132095,-13.287618146889754,-1.7028640048473116,0.037254347664952864,0.22496990079268858,-0.020982763395027502
0.02127659574468085,-0.618709,-0.16343,0.333715,0.515328,0.023424,-0.23424,54.735116,5.34763,-83.019667,-14.21,-0.42,-0.28,0.0,0.0035545331452195086,0.006223208919411316,-0.2084669247723621,0.0030805106028541462,1.8986806204603721,3.9914786208871385,-6.885636516043194,-14.2044974604816,-1.9348295502391897,0.0242507190299764,0.21265138472753847,-0.024598937294166855
0.022528160200250315,-0.782977,-0.308299,0.368321,0.54656,0.046848,-0.23424,54.747753,5.761762,-82.461983,-17.219999,-1.75,-8.05,0.0,0.0036095341529071446,0.006468425375552311,-0.22077596615222592,0.003084993748847968,1.8986885626595553,3.991210008314595,-7.46923907213102,-15.127214107223242,-2.1861370917348433,0.011978050796166949,0.19999013193620552,-0.02829623818416829
0.023779724655819776,-0.915255,-0.35508,0.361069,0.5856,0.062464,-0.23424,54.882266,6.24483,-82.12754,-17.709999,-2.03,-13.44,0.0,0.003652753857343651,0.006698575813143404,-0.23309303941135925,0.003089538359617837,1.8986968023348925,3.990925985157171,-8.071197646493129,-16.054704613427635,-2.457578615246917,0.0004583770654437592,0.18698150925819326,-0.0320639821098771
0.025031289111389236,-0.973904,-0.314564,0.349068,0.577792,0.023424,-0.249856,54.859761,6.748408,-81.434053,-18.129999,-3.5,-17.5,0.0,0.003685106708680993,0.00691329528377116,-0.2454183291831591,0.0030941302623500176,1.8987053204019118,3.9906265412469115,-8.691182214768123,-16.985833654662258,-2.749941544383836,-0.01028801660511755,0.173620993668241,-0.03589092595836643
0.0262828535669587,-0.898591,-0.215282,0.318642,0.577792,-0.031232,-0.257664,54.969748,7.022658,-81.095351,-18.41,-5.6,-18.620001,0.0,0.003707499816499209,0.007112188651984669,-0.25775195241304133,0.0030987564241304806,1.898714097300495,3.990311666227139,-9.328835143730021,-17.919395638234125,-3.0640046745437965,-0.02024269077538193,0.15990418768215262,-0.03976529669149556
0.02753441802252816,-0.753953,-0.135352,0.268245,0.601216,-0.046848,-0.265472,54.93585,7.063895,-80.701311,-17.360001,-6.16,-16.52,0.0,0.003720826750575543,0.0072948295748787965,-0.27009395630336974,0.003103404938878337,1.8987231129564566,3.9899813496384553,-9.983767539010394,-18.854116806113748,-3.400533615999528,-0.02938914026723304,0.14582684001121746,-0.043674824777595114
0.028785982478097622,-0.536244,-0.039213,0.221033,0.616832,-0.054656,-0.257664,54.883216,6.931428,-80.663018,-10.78,-5.74,-11.55,0.0,0.0037259612305091767,0.0074607599124281885,-0.2824443166750985,0.003108065006450981,1.8987323467421182,3.9896355810070547,-10.655555001485592,-19.788657877286354,-3.76027571200609,-0.03771287264134681,0.13138487115098796,-0.04760678170865807
0.030037546933667086,-0.346915,0.051617,0.176845,0.593408,-0.07808,-0.265472,54.884522,6.99701,-80.389665,-5.32,-5.11,-4.9,0.0,0.003723750779983679,0.0076094895972521745,-0.29480293676517155,0.003112726903829262,1.8987417774364297,3.989274349934814,-11.343732747074295,-20.721617245377494,-4.143954400982837,-0.04520147768571701,0.1165744030629163,-0.05154802132322588
0.03128911138923655,-0.251099,0.101689,0.165867,0.601216,-0.023424,-0.242048,54.765152,6.980299,-80.170343,-2.59,-5.67,0.77,0.0,0.0037150104243621213,0.007740496985712148,-0.3071696464722065,0.003117381948387676,1.89875138318523,3.9888976461906105,-12.047790052671727,-21.651534744144683,-4.552262998289748,-0.05184468939257673,0.10139179188296789,-0.05548502454470878
